population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
shaded,shadedA,shadedA1,0B,no,3.43,0.89,24.8,0,1,1,24,57,81,0.2511
shaded,shadedA,shadedA1,0B,no,3.43,0.89,24.8,0,1,2,19,58,96,0.4083
shaded,shadedA,shadedA2,0B,no,2.86,0.68,22.2,0,3,1,21,45,123,0.2142
shaded,shadedA,shadedA2,0B,no,2.86,0.68,22.2,0,3,2,14,42,78,0.2089
shaded,shadedA,shadedA3,0B,no,3.98,1.17,24.3,0,3,1,17,47,96,0.3027
shaded,shadedA,shadedA3,0B,no,3.98,1.17,24.3,0,3,2,9,33,65,0.3219
shaded,shadedA,shadedA4,0B,no,3.55,1.08,24.4,0,3,1,1200,1200,1200,0
shaded,shadedA,shadedA4,0B,no,3.55,1.08,24.4,0,3,2,1200,1200,1200,2.00000000000089e-4
shaded,shadedA,shadedA5,0B,no,2.75,0.76,24.1,0,2,1,14,63,235,0.2471
shaded,shadedA,shadedA5,0B,no,2.75,0.76,24.1,0,2,2,40,90,158,0.2686
shaded,shadedA,shadedA6,0B,no,2.44,0.71,22.6,0,2,1,25,60,104,0.2863
shaded,shadedA,shadedA6,0B,no,2.44,0.71,22.6,0,2,2,16,41,68,0.404
shaded,shadedA,shadedA7,0B,no,2.76,0.71,20.8,0,2,1,48,412,481,0.1771
shaded,shadedA,shadedA7,0B,no,2.76,0.71,20.8,0,2,2,10,45,82,0.2914
shaded,shadedA,shadedA8,0B,no,3.02,0.64,23.3,0,2,1,22,43,95,0
shaded,shadedA,shadedA8,0B,no,3.02,0.64,23.3,0,2,2,10,41,78,0.401
shaded,shadedA,shadedA9,0B,no,3.12,0.96,24,0,3,1,19,57,100,0.3775
shaded,shadedA,shadedA9,0B,no,3.12,0.96,24,0,3,2,14,35,66,0.2637
shaded,shadedB,shadedB1,0B,no,2.77,0.93,22.6,0,3,1,17,36,70,0.3261
shaded,shadedB,shadedB1,0B,no,2.77,0.93,22.6,0,3,2,13,33,61,0.2687
shaded,shadedB,shadedB2,0B,no,3.67,0.98,22.5,0,1,1,70,133,189,0.2168
shaded,shadedB,shadedB2,0B,no,3.67,0.98,22.5,0,1,2,8,31,73,0.2567
shaded,shadedB,shadedB3,0B,no,3.12,1.08,22.9,0,3,1,1200,1200,1200,0
shaded,shadedB,shadedB3,0B,no,3.12,1.08,22.9,0,3,2,1200,1200,1200,0.2141
shaded,shadedB,shadedB4,0B,no,3.19,0.79,23.2,0,1,1,22,52,109,0.3124
shaded,shadedB,shadedB4,0B,no,3.19,0.79,23.2,0,1,2,21,43,81,0.1108
shaded,shadedB,shadedB5,0B,no,3.43,1.02,23.1,0,2,1,30,60,92,0.2689
shaded,shadedB,shadedB5,0B,no,3.43,1.02,23.1,0,2,2,14,54,82,0.3529
shaded,shadedB,shadedB6,0B,no,3.28,0.72,22,0,1,1,20,50,126,0.2467
shaded,shadedB,shadedB6,0B,no,3.28,0.72,22,0,1,2,20,51,85,0.2153
shaded,shadedB,shadedB7,0B,no,3.78,0.9,23.7,0,1,1,30,232,344,0.1522
shaded,shadedB,shadedB7,0B,no,3.78,0.9,23.7,0,1,2,18,40,68,0.1628
shaded,shadedB,shadedB8,0B,no,2.15,0.47,22.3,0,3,1,19,68,128,0.1507
shaded,shadedB,shadedB8,0B,no,2.15,0.47,22.3,0,3,2,14,37,70,0.2028
shaded,shadedB,shadedB9,0B,no,2.84,0.61,22.5,0,2,1,21,69,136,0.2955
shaded,shadedB,shadedB9,0B,no,2.84,0.61,22.5,0,2,2,17,54,128,0.1734
shaded,shadedC,shadedC1,0B,no,2.34,0.57,20.4,0,1,1,15,55,130,0.1361
shaded,shadedC,shadedC1,0B,no,2.34,0.57,20.4,0,1,2,14,50,104,0.2083
shaded,shadedC,shadedC2,0B,no,3.01,0.86,25.2,0,1,1,10,59,107,0.3554
shaded,shadedC,shadedC2,0B,no,3.01,0.86,25.2,0,1,2,14,45,98,0.5231
shaded,shadedC,shadedC3,0B,no,3.51,0.93,22.4,0,3,1,1200,1200,1200,0.1161
shaded,shadedC,shadedC3,0B,no,3.51,0.93,22.4,0,3,2,1200,1200,1200,0.1023
shaded,shadedC,shadedC4,0B,no,3.42,1.37,23.6,0,2,1,27,129,189,0.2414
shaded,shadedC,shadedC4,0B,no,3.42,1.37,23.6,0,2,2,20,47,82,0.2596
shaded,shadedC,shadedC5,0B,no,2.78,0.65,21.7,0,3,1,15,54,116,0.1673
shaded,shadedC,shadedC5,0B,no,2.78,0.65,21.7,0,3,2,14,33,59,0.0711000000000001
shaded,shadedC,shadedC6,0B,no,2.97,0.86,24.4,0,1,1,16,55,100,0.926
shaded,shadedC,shadedC6,0B,no,2.97,0.86,24.4,0,1,2,14,48,81,0.3717
shaded,shadedC,shadedC7,0B,no,3.06,0.79,21.9,0,3,1,20,54,82,0.1879
shaded,shadedC,shadedC7,0B,no,3.06,0.79,21.9,0,3,2,11,32,60,0.2078
shaded,shadedC,shadedC8,0B,no,2.04,0.44,19.4,0,2,1,27,136,1200,0.2346
shaded,shadedC,shadedC8,0B,no,2.04,0.44,19.4,0,2,2,20,58,111,0.2719
shaded,shadedC,shadedC9,0B,no,2.51,0.54,24.1,0,1,1,17,52,59,0
shaded,shadedC,shadedC9,0B,no,2.51,0.54,24.1,0,1,2,16,41,68,0
shaded,shadedD,shadedD1,0B,no,2.72,0.88,21.2,0,1,1,48,131,1200,0.096
