population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,Nematode_white_encaps,Nematode_dark_encaps,Acari_encaps,Nematode_0_1_free,Nematode_1_3_free,Nematode_3_5_free,Nematode_5_plus_free,Nematode_1_3_lung,Nematode_3_5_lung,Nematode_5_plus_lung,Acari_kidney,Acari_digestive,Trematode_kidney
shaded,shadedA,shadedA1,0B,no,3.43,0.89,24.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA2,0B,no,2.86,0.68,22.2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA3,0B,no,3.98,1.17,24.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA4,0B,no,3.55,1.08,24.4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA5,0B,no,2.75,0.76,24.1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2
shaded,shadedA,shadedA6,0B,no,2.44,0.71,22.6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,18
shaded,shadedA,shadedA7,0B,no,2.76,0.71,20.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA8,0B,no,3.02,0.64,23.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedA,shadedA9,0B,no,3.12,0.96,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedB,shadedB1,0B,no,2.77,0.93,22.6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedB,shadedB2,0B,no,3.67,0.98,22.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedB,shadedB3,0B,no,3.12,1.08,22.9,0,3,1,0,0,0,0,0,0,0,0,0,82,11,0
shaded,shadedB,shadedB4,0B,no,3.19,0.79,23.2,0,1,22,0,0,0,0,0,0,0,0,0,0,0,8
shaded,shadedB,shadedB5,0B,no,3.43,1.02,23.1,0,2,14,0,0,0,0,0,0,0,0,0,0,0,1
